出现时间(s),模式,字体大小,颜色,时间戳,弹幕池,用户ID,rowID,弹幕内容
1591.73900,5,25,16646914,1651649149,0,55c9c884,1744273440547847680,10,武教头就等于是理中客，看似客观公正，实则是把你往火坑里推
5266.71400,5,25,16777215,1575606944,0,81b52d74,1744162972697148928,10,大哥被花姐的天真惊到了
2580.75500,5,25,16776960,1648343830,0,739f9faa,1744270627679813120,10,《 放 洋 屁 》
3533.14300,1,25,15138834,1662952592,0,1a8524d9,1744284662030712320,10,老二是真的爱他的兄弟们
6098.06400,1,25,16777215,1642614520,0,b6d8de83,1744266074200784384,10,《你把大哥给吹死了》
5643.62900,5,25,8700107,1642652919,0,24a191a3,1744266104701763072,10,你站在这儿，我去给你买个喜之郎果冻
559.99200,5,25,16707842,1617533630,0,92a5531d,1744232237332741632,10,你一个练块儿的惦记女的干嘛
810.70000,5,25,15138834,1628847313,0,7984e410,1744249035176328704,10,《 冒 犯 夫 人 的 举 动 》
6124.93800,5,25,16776960,1637578010,0,c1e1677a,1744260941429652992,10,师爷：我不理解，但我大受震撼！
4453.98800,5,25,16765698,1634992279,0,d6a1e993,1744258158131461634,10,莫慌，这盒子能吸蛇的脑髓，美女蛇就被治死了
2478.99200,1,25,16777215,1645848935,0,cf1319b2,1744269122461548033,10,翻译:你拿什么和我斗
7038.28100,5,25,15138834,1626062611,0,e362ce20,1744244008034549248,10,赝 品 是 个 好 东 西
6851.77500,1,25,16777215,1637592684,0,11d8581b,1744260990670781953,10,旁观者旁观者谁赢帮谁，却忘了他们帮谁谁赢
7172.16400,1,25,16777215,1629469697,0,602a9642,1744250803285179905,10,在这里骂开拓者，企图分羹的投机倒把者
3456.33800,5,25,16776960,1643080251,0,2c2c1759,1744266608353787392,10,《四    蛋    多》
1929.50000,5,25,16646914,1665812589,0,148a80ca,1744286422992469505,10,注意三哥看汤爷的眼神，细节杀气
4757.91200,5,25,16776960,1642852648,0,c58a359c,1744266366669602304,10,翻译：仗只能中午打，因为早晚都得死
2233.53200,5,25,16707842,1630988382,0,91d8ed83,1744253792649526784,10,真正落到工人嘴里的能有几口
3318.41800,1,25,38979,1585763414,0,3b37a161,1744172000315751936,10,师爷哭得比正主惨
7371.44700,5,25,8700107,1653730538,0,ad8177d5,1744274766543502852,10,《不想成为跪着要饭的》
1637.48100,5,25,16707842,1616226935,0,e22b336f,1744230790960561664,10,网络喷子现状
7530.36400,5,25,16707842,1639672700,0,70915b92,1744263192395169281,10,二哥：“我TM谢谢你”
1352.46100,5,25,16707842,1595332581,0,ba378828,1744194388579368448,10,去墓地里面找吧（有可能还找不到）
131.28600,5,25,16777215,1657535785,0,327d329d,1744278683822112256,10,刘邦：你清高，你了不起
3339.63200,5,25,16776960,1649410304,0,81442565,1744271550753848832,10,就你们自习课讲话是吧↓（doge
6483.98000,5,25,15138834,1640012961,0,a2122b8a,1744263516346433024,10,结果你连秦惠文王都没打过
5162.99700,5,25,15138834,1643794531,0,63a148f9,1744267464730000896,10,《又》
833.51900,1,25,16777215,1643609000,0,cfd7ad1e,1744267206763527680,10,这话说的冠冕堂皇，那只手到没闲着
3647.38200,5,25,16777215,1641383918,0,eff11026,1744265002170236416,10,师爷这一饼跟靶子似的哈哈哈哈哈
3571.95300,1,25,16777215,1619866010,0,2ae3d0bc,1744234960216178176,10,兄弟几个都已经有二心了，只有老二还那样
59.45300,5,25,15138834,1664108978,0,953e0251,1744285433379995138,10,《先  进  动  力》
5356.84100,5,25,15138834,1643965883,0,e787c5e7,1744267661694516736,10,《好好被两只猴耍耍》
204.53000,1,25,16707842,1658634766,0,d6a08a77,1744279851726061056,10,这个歌是委托久石让创作的，当时要求是“跟莫扎特写的差不多就行”，把人老头气的够呛
5116.09700,1,25,16777215,1642688246,0,e469e180,1744266165846326785,10,baby の 浪费
